"screenName" "isTroll" "created" "text" "isRetweet" "favoriteCount" "retweetCount" "name" "protected" "listedCount" "followersCount" "location" "favoritesCount" "friendsCount" "verified" "description"
225. Katy Perry - Prism (-5) https://t.co/mQTDxqkSuO" TRUE 0 13 "KATY MY LADY" FALSE 19 1299 "" 8088 664 FALSE "I love Katy Perry and I will defend it."
"katy_perry22" "Karen_QC" NA 1262131131 "Nueva favorita: Timbaland / If We Ever Meet Again (Featuring Katy Perry) https://t.co/gJ4aEqHqVX @DeezerLatam" FALSE 1 0 "Karen Quintero C." FALSE 21 1241 "Buenos Aires, Argentina" 245 982 FALSE "¬°Acelero, freno, claxon!"
"katy_perry23" "donnabates101" NA 1440712727 "RT @DiaryWank: Katy Perry could stand over my fireplace any day... If you know what I mean (; https://t.co/Q8sKWk685J" TRUE 0 25 "Donna Bates" FALSE 14 3419 "Edinburgh, Scotland" 5704 1221 FALSE "just a little bold I guess love seeing my friends get nasty comments ha I'm gonna be their pimp lol I just haven't told them yet"
"katy_perry24" "itsnotsonh" NA 1362980248 "RT @wherethealbumat: Frank Ocean, Madonna, Katy Perry, Amanda Seyfried, and Riccardo Tisci at the 2013 Met Gala after party. https://t.co/p‚Ä¶" TRUE 0 158 "‰∏ª‰∫∫ÂÖ¨ - S√∏nh X√•nh" FALSE 4 313 "Purgatory „É©„ÉÉ„Éâ" 31059 461 FALSE "97' Til Infinity | Xanh"
"katy_perry25" "jonathan9853" FALSE 1439668748 "RT @DWUW96: 7- i don't care about your opinion. katy perry has the best music videos among all those artists. creative, iconic, entertainin‚Ä¶" TRUE 0 6 "katy lover" FALSE 3 524 "" 66158 2374 FALSE "stan list: katy perry, lady gaga,beyonce,rihanna,LM,1D,mariah carey,
 adele, lana del rey, nicki minaj, britney spears and larry is real bitches"
"katy_perry26" "phhherry" NA 1376941586 "RT @KatyCharts: Worldwide iTunes Song Chart:
117. Katy Perry - Roar (-11) https://t.co/Bacv0hO16G" TRUE 0 12 "phil's waiting 4 KP4" FALSE 15 904 "Minas Gerais" 24029 568 FALSE "You're confused, I'm bisexual! ‚ô° Katy 27.09.15"
"katy_perry27" "phhherry" NA 1376941586 "RT @KatyCharts: Worldwide iTunes Album Chart:
225. Katy Perry - Prism (-5) https://t.co/mQTDxqkSuO" TRUE 0 13 "phil's waiting 4 KP4" FALSE 15 904 "Minas Gerais" 24029 568 FALSE "You're confused, I'm bisexual! ‚ô° Katy 27.09.15"
"katy_perry28" "SLAYBTS_" NA 1459920319 "2016 releases :

Rihanna
Beyonce 
Britney Spears
Lady Gaga
Bruno Mars
Katy Perry

Feels like 2010 again wow" FALSE 65 18 "meow" FALSE 36 9343 "" 11088 810 FALSE "who's Min Yoongi? I only know Agust D"
"katy_perry29" "phhherry" NA 1376941586 "RT @SmadarKatyCat: Rare photo of Katy Perry taking a picture of the biggest name in Pop music this decade. https://t.co/0amaBqk2I6" TRUE 0 220 "phil's waiting 4 KP4" FALSE 15 904 "Minas Gerais" 24029 568 FALSE "You're confused, I'm bisexual! ‚ô° Katy 27.09.15"
"katy_perry30" "gsccradio" NA 1470141330 "Currently #NowPlaying On GSCC Radio: Roar - Katy Perry" FALSE 0 0 "GSCC Radio" FALSE 3 6 "Sydney, New South Wales" 2 11 FALSE "The Official Twitter News Feed for GSCC Radio. Important news and #NowPlaying info are posted here. Maintained by - @news_tjbruce17 #gsccradio"
"katy_perry31" "seed_33" NA 1286517104 "I liked a @YouTube video https://t.co/ERQyZxqC9w Katy Perry - Legendary Lovers (Lyric Video)" FALSE 0 0 "Mark Turnipseed" FALSE 0 58 "" 3 35 FALSE ""
"katy_perry32" "05donalcCallum" NA 1371252002 "Katy Perry - Wide Awake https://t.co/aJJgWSWR91" FALSE 0 0 "Callum Donaldson" FALSE 1 9 "" 0 4 FALSE ""
"katy_perry33" "lisorokina65670" NA 1474123718 "Katy Perry Attend Broadways Finding Neverland in NYC 8/26/2015 https://t.co/je2ZpraDlq #KatyPerry" FALSE 1 0 "Boyd Porter" FALSE 4 44 "San Jose" 31 27 FALSE ""
"katy_perry34" "KatyPerry_Watch" NA 1329214757 "‚ù§Ì†ΩÌ≤ú#KatyPerry #Deals RARE Prismatic Tour Program Book Katy Perry PRISM VIP SOLD OUT #Style https://t.co/l4dDCxuskA‚Ä¶ https://t.co/N2cPecwPhF" FALSE 1 0 "Katy Perry Fans" FALSE 301 5666 "" 0 3758 FALSE "The latest KatyPerry gossip online keeping you up to date with all KatyPerry news. #InstantFollowBack"
"katy_perry35" "grishinromadii3" NA 1468422689 "#katy perry porn defloration teen virgin https://t.co/5SqG5m4Z7w" FALSE 0 0 "Christine Murphy" FALSE 114 1203 "" 0 21 FALSE ""
"katy_perry36" "fwyatt39" NA 1402750307 "Roar

Katy Perry

I used to bite my tongue and hold my breath
Scared to rock the boat and make a mess
So I sat quietly, agreed politely" FALSE 1 0 "StAn" FALSE 89 283 "Bronx Zoo" 1955 510 FALSE "A godly man has thoughts of the world,but are outward thought; inward reserved God;worldly man thoughts of things of  god,while fixed thought inward about world"
"katy_perry37" "Eleondra" NA 1376599473 "RT @NudecelebsNude: RETWEET if you would bang Katy Perry doggy style til you cum inside her. https://t.co/FfxrKDU89A" TRUE 0 196 "+++Positive Vibes+++" FALSE 22 1208 "" 5889 423 FALSE "Smile!"
"katy_perry38" "trusthaileyb" FALSE 1331312666 "RT @KatyCharts: Katy Perry Profits Tours:

Hello Katy Tour: $1,5M
California Dreams Tour: $60M
Prismatic World Tour: $204,3M https://t.co/s‚Ä¶" TRUE 0 232 "Ella GLORY DAYS" FALSE 21 2075 "Brasil " 13695 1329 FALSE ""
"katy_perry39" "gemmsalways" NA 1386698075 "@fans_dms Katy Perry - The One That Got Away" FALSE 1 0 "RT on fixed/Goal:1k" FALSE 4 1113 "" 6 2716 FALSE "Follows the @Alwaysgemms (follow back, no need to ask)"
"katy_perry40" "TheDerpyNova2" NA 1460160041 "RT @NudecelebsNude: RETWEET if you would bang Katy Perry doggy style til you cum inside her. https://t.co/FfxrKDU89A" TRUE 0 196 "Lilith [FireHawk]" FALSE 10 894 "" 1317 1488 FALSE "Jack took Roland.. I took his life.
[Skilled in borderlands verse.]
(no art is mine)(extremely submissive and kinky and dirty) #FCVerse"
"katy_perry41" "MarkLabrador" NA 1258577070 "Me: I'm not religious 
Katy Perry: *tweets about going to church
Me: https://t.co/GjC4hcJYe4" FALSE 0 0 "‚†Å‚†ù‚†û‚†ä" FALSE 7 810 "" 22634 314 FALSE "Wanderl√ºst ‚ñΩ"
"katy_perry42" "Rise4Perry" NA 1294989979 "RT @acefinnr: Katy Perry by David LaChapelle https://t.co/K0XvkIBrsy" TRUE 0 64 "Lina Ì†ºÌæ£" FALSE 5 311 "Cloud 9 | Colombia" 1592 965 FALSE "Roared on Oct/09/15 #PWT || @katyperry is my spirit animal || 'Wide awake' stan || Katy faved x1! ‚ù§ [EN/ES]"
"katy_perry43" "icialdama" FALSE 1376902721 "RT @MashupTunes: Katy Perry x Rise x cover by: summerbmusic https://t.co/hEnMzAusH7" TRUE 0 224 "√ØƒçƒØ¬™r ‚úØ" FALSE 0 272 "Vitoria-Gasteiz" 6693 222 FALSE ""
"katy_perry44" "LIPSapp" NA 1386246969 "Dolly Parton's Hollywood Show: Katy Perry, Reese Witherspoon ... - People Magazine #katyperry #popmusic #ara" FALSE 1 0 "Randy Steel" FALSE 543 5263 "Local, Everywhere!‚Ñ¢" 13 805 FALSE "Local Important People Services App. F%&k VIP! LIP is better. Join us for FREE and start getting the credit you deserve: shoutout on FB, TW AND Radio!"
"katy_perry45" "TurntUpRadio247" NA 1392660635 "Dolly Parton's Hollywood Show: Katy Perry, Reese Witherspoon ... - People Magazine #katyperry #popmusic #ara https://t.co/jbvgpUkamM" FALSE 1 0 "TurntUp Radio 24/7" FALSE 1080 8902 "Fort Lauderdale" 7 79 FALSE "Listen to Pop, R&B, Hip-Hop, Rap and EDM from the 90s thru today. Request, Dedicate, Vote and Chat about Songs. Got original Music and want Airplay? Tweet us."
"katy_perry46" "LIPSapp" NA 1386246969 "Dolly Parton's Hollywood Show: Katy Perry, Reese Witherspoon ... - People Magazine #katyperry #popmusic #ara https://t.co/yNnqISYVVk" FALSE 1 0 "Randy Steel" FALSE 543 5263 "Local, Everywhere!‚Ñ¢" 13 805 FALSE "Local Important People Services App. F%&k VIP! LIP is better. Join us for FREE and start getting the credit you deserve: shoutout on FB, TW AND Radio!"
"katy_perry47" "LexuriousLions" NA 1458548773 "RT @MashupTunes: Katy Perry x Rise x cover by: summerbmusic https://t.co/hEnMzAusH7" TRUE 0 224 "Ì†ΩÌµä" FALSE 0 235 "Augusta, GA" 7242 483 FALSE "stack. slay. pray."
"katy_perry48" "TurntUpRadio247" NA 1392660635 "Dolly Parton's Hollywood Show: Katy Perry, Reese Witherspoon ... - People Magazine #katyperry #popmusic #ara" FALSE 1 0 "TurntUp Radio 24/7" FALSE 1080 8902 "Fort Lauderdale" 7 79 FALSE "Listen to Pop, R&B, Hip-Hop, Rap and EDM from the 90s thru today. Request, Dedicate, Vote and Chat about Songs. Got original Music and want Airplay? Tweet us."
"katy_perry49" "sjbeastmode" NA 1405906262 "RT @MashupTunes: Katy Perry x Rise x cover by: summerbmusic https://t.co/hEnMzAusH7" TRUE 0 224 "SJ" FALSE 4 555 "jhs" 13555 420 FALSE "the biggest ute fan you'll ever know"
"katy_perry50" "kp_sticker" NA 1434509296 "https://t.co/S7bF8RNYhZ Katy Perry | sticker 04 #katyperry https://t.co/UnbbIgJoYO" FALSE 0 0 "KATY PERRY" FALSE 2 28 "" 0 39 FALSE ""
"katy_perry51" "katypurely" NA 1371409730 "RT @KatyCharts: Worldwide iTunes Album Chart:
225. Katy Perry - Prism (-5) https://t.co/mQTDxqkSuO" TRUE 0 13 "thales" FALSE 5 20020 "" 4126 16565 FALSE "voc√™ √© t√£o iludida que vou te chamar de zerrie shipper."
"katy_perry52" "katypurely" FALSE 1371409730 "RT @KatyCharts: Worldwide iTunes Song Chart:
137. Katy Perry - Rise (-19) https://t.co/kEvi1o449R" TRUE 0 12 "thales" FALSE 5 20020 "" 4126 16565 FALSE "voc√™ √© t√£o iludida que vou te chamar de zerrie shipper."
"katy_perry53" "nobigd34l" NA 1402688837 "RT @KatyCharts: Worldwide iTunes Album Chart:
225. Katy Perry - Prism (-5) https://t.co/mQTDxqkSuO" TRUE 0 13 "Ì†ΩÌ≤é GLORY DAYS Ì†ΩÌ≤é" FALSE 3 2776 "Beacon Hills/ In The House " 7660 1864 FALSE "Ì†ºÌº∫ Ship gay is my religion Ì†ºÌº∫|| Ì†ºÌº∏ Minha felicidade e movida a Mc Donalds Ì†ºÌº∏"
"katy_perry54" "katypurely" NA 1371409730 "RT @KatyCharts: Worldwide iTunes Song Chart:
117. Katy Perry - Roar (-11) https://t.co/Bacv0hO16G" TRUE 0 12 "thales" FALSE 5 20020 "" 4126 16565 FALSE "voc√™ √© t√£o iludida que vou te chamar de zerrie shipper."
"katy_perry55" "aridecision" NA 1463844647 "RT @titaroala: Katy Perry - I Kissed A Girl https://t.co/lEs8Uc5L9o" TRUE 0 36 "c√°ssia loves ariana" FALSE 4 2950 "larrypreciousquad" 5050 2244 FALSE "when you say you need me know i need you more @te_amo_shawn"
"katy_perry56" "californiakil0s" NA 1461799238 "RT @KomptonMusic: No one is better than you @lanadelrey...haters are cave dwelling half twits aka Katy Perry stans" TRUE 0 17 "kyle" FALSE 13 676 "Lana Del Rey's Heart " 34712 1454 FALSE "if you come for my faves I will end you,bitch. Stan legends only no rats or snakes! professional shitlord & egalitarian"
"katy_perry57" "VictorMrtnOrtg" NA 1313702226 "RT @SmadarKatyCat: Rare photo of Katy Perry taking a picture of the biggest name in Pop music this decade. https://t.co/0amaBqk2I6" TRUE 0 220 "V√≠ctor Mart√≠n" FALSE 3 1557 "" 6796 1033 FALSE "19. Matem√°tico en proceso y fan incondicional de Katy Perry‚ù§. 
Gran Canaria ‚úà Tenerife.
'Sue√±a grande, vuela alto.'"
"katy_perry58" "ambiguality" FALSE 1380293597 "RT @SmadarKatyCat: Rare photo of Katy Perry taking a picture of the biggest name in Pop music this decade. https://t.co/0amaBqk2I6" TRUE 0 220 "„Ö§„Ö§„Ö§" FALSE 9 760 "" 3591 777 FALSE "acceptance is the key to be truly free"
"katy_perry59" "KatyCharts" NA 1376224165 "Worldwide iTunes Album Chart:
225. Katy Perry - Prism (-5) https://t.co/mQTDxqkSuO" FALSE 26 13 "Katy Perry Charts" FALSE 27 8540 "" 233 38 FALSE "Sua maior e melhor fonte oficial de charts e vendas sobre Katy Perry. |Your best, biggest and official source of charts and sales about Katy Perry."
"katy_perry60" "toffer" NA 1165140212 "International Smile is one of Katy Perry‚Äôs best songs.

Fight me." FALSE 0 0 "Terrified Ì†ΩÌ∏± Toffer" FALSE 102 486 "Under the covers hiding" 94561 416 FALSE "I think I peed my pants a little."
"katy_perry61" "thell0ve" FALSE 1412203026 "Katy Perry wraps up as she jets out of JFK with new beau Orlando... https://t.co/38zTEITAdO #KatyPerry" FALSE 0 0 "Thelma" FALSE 1555 19904 "South Carolina" 15290 20656 FALSE "‚ñà‚ïë‚ñå‚îÇ‚ñà‚îÇ‚ïë‚ñå‚ïë‚îÇ‚îÇ‚ñà‚ïë‚ñå‚ïë‚ñå‚ïë"
"katy_perry62" "CoderPower130" NA 1466471037 "@HermanasCoders5 Katy Perry - Static ft. Diplo" FALSE 0 0 "Villalpando" FALSE 1 443 "en freddylandia" 1643 483 FALSE "coder forever and ever Siermpre Juntos Siempre @CD9  IG:CoderPower130 https://t.co/p6Bn1jXrYx 
Ax2+J+B+F=CD9 La Formula De La Felicidad"
"katy_perry63" "anmaksimova4472" NA 1474121667 "Katy Perry Attend Broadways Finding Neverland in NYC 8/26/2015 https://t.co/Q1pV2oXYWu #KatyPerry" FALSE 0 0 "Roderick Casey" FALSE 2 45 "Mesa" 33 29 FALSE ""
"katy_perry64" "JoeFortuna56" NA 1342568195 "RT @ChiefKeef: Dat bitch Katy Perry Can Suck Skin Off Of my Dick" TRUE 0 51466 "01001010" FALSE 2 120 "/\/\|_" 8020 320 FALSE "Twitter isn't even good. ‚ôäÔ∏è"
"katy_perry65" "smackperry" FALSE 1384878709 "RT @KatyCharts: Worldwide iTunes Song Chart:
117. Katy Perry - Roar (-11) https://t.co/Bacv0hO16G" TRUE 0 12 "joaum Ì†ºÌæ£" FALSE 32 3862 "Katy noticed me" 55570 597 FALSE "Spirit survives."
"katy_perry66" "Suzx__" NA 1331401517 "Taylor Schilling and Katy Perry are basically twins" FALSE 0 0 "Suziiiiiii" FALSE 9 629 "Mystic Falls " 4925 257 FALSE "Sicker than your average | 20 | V.IX.XVI"
"katy_perry67" "ChrisNovelas" NA 1394422031 "Top 15 Videoclipes no YouTube: 5¬∫ Katy Perry \"Roar\" #Top15 katyperry https://t.co/4s64YNngJt" FALSE 0 1 "Chris" FALSE 9 1400 "" 14754 483 FALSE "Comentando novelas. Cheias de Charme, Sol Nascente, Haja Cora√ß√£o e A Lei do Amor."
"katy_perry68" "BrendaAmianto" NA 1472238730 "RT @titaroala: Katy Perry - I Kissed A Girl https://t.co/lEs8Uc5L9o" TRUE 0 36 "5seconds of harmony" FALSE 1 468 "Sidney, Austr√°lia " 4489 1287 FALSE "Ì†ΩÌ≤ñVanicornio is realÌ†ΩÌ≤ñ

Ì†ºÌæ∏Linkin ParkÌ†ºÌæ∏

Ì†ΩÌ≤ï5SOSÌ†ΩÌ≤ï

Ì†ΩÌ≤ò5HÌ†ΩÌ≤ò

‚ùéTVD‚ùé


Somos programados para cair
‚û°SC‚¨Ö"
"katy_perry69" "smackperry" FALSE 1384878709 "RT @KatyCharts: Worldwide iTunes Song Chart:
137. Katy Perry - Rise (-19) https://t.co/kEvi1o449R" TRUE 0 12 "joaum Ì†ºÌæ£" FALSE 32 3862 "Katy noticed me" 55570 597 FALSE "Spirit survives."
"katy_perry70" "BridgetM41" NA 1438645564 "@katyperry Hi Katy my daughter Xanthe is a huge fan of yours.She has named a forest after you on her grandparents land -Katy Perry Forest." FALSE 1 0 "Bridget Erin Malone" FALSE 0 5 "South Island NZ" 2 45 FALSE ""
"katy_perry71" "UPESRadioJaguar" NA 1471739397 "Katy Perry - Roar" FALSE 0 0 "Radio Jaguar" FALSE 3 42 "Culiac√°n, Sinaloa" 0 0 FALSE ""
"katy_perry72" "shota_12301996" NA 1380024168 "@x_Katy_Perry_x 
Thank you follow meÌ†ΩÌ∏Ñ Nice to meet you(^_^)v" FALSE 0 0 "Shota Suzuki" FALSE 3 352 "Tochigi Prefecture,Japan " 5835 352 FALSE "I'm Japanese. My name is Shota Suzuki. 19-years-old academic. I like to watch a movie and listen to music! Thank you (^_^)v"
"katy_perry73" "taxyzwzle" NA 1343545135 "‚ÄúTalking about the future, like we had a clue. Never plans that one day, I'd be losing you‚Äù 
‚Äï Katy Perry" FALSE 0 0 "Taylor Swift" FALSE 2 381 "taylor's bed" 8 87 FALSE "Blank Space"
"katy_perry74" "HONEYMOONPRISM" NA 1326623153 "RT @acefinnr: Katy Perry by David LaChapelle https://t.co/K0XvkIBrsy" TRUE 0 64 "„Ö§„Ö§" FALSE 31 21356 "" 28009 175 FALSE ""
"katy_perry75" "DavidSantosR_" NA 1292521300 "RT @KatyPerryExtra: Most watched Katy Perry's videos on YouTube:
RoarÌ†ΩÌ∞Ø: 1.591B
DHÌ†ΩÌ∞¥: 1.565B
FireworkÌ†ºÌæÜ: 792M
LFNÌ†ºÌæâ: 782M
WAÌ†ΩÌ¥Æ: 564M
TIHWDÌ†æÌ¥òÌ†ºÌøº: 52‚Ä¶" TRUE 0 63 "david santosÌ†ΩÌ∞∫" FALSE 0 934 "" 8943 381 FALSE "@katyperry  @grimes @lanadelrey"
"katy_perry76" "musicdenver" NA 1239220920 "#KatyPerry - #Roar (Alex G Cover) Official Music Video https://t.co/XSkQ3JDDqw" FALSE 0 0 "Denver Musicscene" FALSE 1267 62307 "Denver, CO" 0 66719 FALSE "Denver msuic scene discussed."
"katy_perry77" "Scts5163Scott" NA 1459697614 "@vandives the left has alot of room to talk most of them display bad behavior all the time I didn't like the vote naked Katy Perry ad sick." FALSE 0 0 "Scott F" FALSE 6 511 "Michigan " 3219 734 FALSE "35YR manufacturing worker skilled trades member of NRA tired of the  establishment nonsense in Washington. Trump supporter Republican.God see's all."
"katy_perry78" "pacbanger" NA 1271130808 "RT @SmadarKatyCat: Rare photo of Katy Perry taking a picture of the biggest name in Pop music this decade. https://t.co/0amaBqk2I6" TRUE 0 220 "WELCH Ì†ºÌæ£" FALSE 3 2141 "p. sherman 42 wallaby way " 20098 1488 FALSE "don't miss swan me, we've been through too much ‚Ä¢"
"katy_perry79" "xAcmjY3FyKd2iER" NA 1467623235 "@KatyPerryFan99 
How do you do, Ryouhei Matsuda from Japan. Thank you. The song best of Katy Perry" FALSE 0 0 "ÊùæÁî∞ÈÅºÂπ≥ 55" FALSE 1 512 "„É°„Ç≠„Ç∑„Ç≥" 38991 646 FALSE "lucha libre AAA"
"katy_perry80" "KatyPerry_Watch" NA 1329214757 "#KatyPerry #Deals NEW! KATY PERRY Concert Tshirt 2011 California Girls Size M! https://t.co/Km5pJ1T9ZK #Style #Forsale" FALSE 0 0 "Katy Perry Fans" FALSE 301 5666 "" 0 3758 FALSE "The latest KatyPerry gossip online keeping you up to date with all KatyPerry news. #InstantFollowBack"
"katy_perry81" "KatyPerry_Watch" NA 1329214757 "#Entertainment #Buzz Killer Queen By Katy Perry 3 Pcs #Perfume Gift Set. BNIB ~ 100% Authentic https://t.co/v2gV5wmPUz #KatyPerry #Auction" FALSE 0 0 "Katy Perry Fans" FALSE 301 5666 "" 0 3758 FALSE "The latest KatyPerry gossip online keeping you up to date with all KatyPerry news. #InstantFollowBack"
"katy_perry82" "KatyPerry_Watch" NA 1329214757 "‚ù§‚ù§#KatyPerry #Deals Katy Perry Meow! 3.4oz Women's Eau de #Parfum Version Of Purr #Style https://t.co/vAXJiBURWK‚Ä¶ https://t.co/xOzQEmfDCI" FALSE 0 0 "Katy Perry Fans" FALSE 301 5666 "" 0 3758 FALSE "The latest KatyPerry gossip online keeping you up to date with all KatyPerry news. #InstantFollowBack"
"katy_perry83" "KatyPerry_Watch" FALSE 1329214757 "#KatyPerry #Fashion Katy Perry - One of the Boys #CD 2008 https://t.co/LrafBQv2pR #Bestseller #Buy https://t.co/gqBfRiKoL9" FALSE 0 0 "Katy Perry Fans" FALSE 301 5666 "" 0 3758 FALSE "The latest KatyPerry gossip online keeping you up to date with all KatyPerry news. #InstantFollowBack"
"katy_perry84" "gimmemorebritt_" NA 1408716243 "RT @wherethealbumat: Frank Ocean, Madonna, Katy Perry, Amanda Seyfried, and Riccardo Tisci at the 2013 Met Gala after party. https://t.co/p‚Ä¶" TRUE 0 158 "BDizzleMyNizzle" FALSE 2 274 "" 15210 160 FALSE "a happy, go lucky, ray of f'n sunshine... ig: @gimmemorebritt__"
"katy_perry85" "Flyawaywith1D" NA 1318812102 "\"Having a song tearing Katy Perry down, is not women's empowerment\" THIS." FALSE 0 0 "Mari‚ô°" FALSE 3 3046 "London, UK" 847 1257 FALSE "Directioner‚Äπ3."
"katy_perry86" "CoderPower130" NA 1466471037 "@HermanasCoders5 Katy Perry - Static ft. Diplo  ?????" FALSE 0 0 "Villalpando" FALSE 1 443 "en freddylandia" 1643 483 FALSE "coder forever and ever Siermpre Juntos Siempre @CD9  IG:CoderPower130 https://t.co/p6Bn1jXrYx 
